,state,race,0
0,AK,,4
1,AK,A,1
2,AK,B,3
3,AK,N,9
4,AK,W,15
5,AL,,9
6,AL,B,26
7,AL,H,1
8,AL,W,52
9,AR,,14
10,AR,A,1
11,AR,B,19
12,AR,W,36
13,AZ,,29
14,AZ,B,14
15,AZ,H,75
16,AZ,N,11
17,AZ,W,96
18,CA,,85
19,CA,A,24
20,CA,B,110
21,CA,H,283
22,CA,N,4
23,CA,O,9
24,CA,W,191
25,CO,,24
26,CO,A,5
27,CO,B,14
28,CO,H,42
29,CO,N,4
30,CO,O,1
31,CO,W,69
32,CT,,3
33,CT,B,2
34,CT,H,4
35,CT,W,9
36,DC,B,12
37,DC,W,1
38,DE,,2
39,DE,B,4
40,DE,W,5
41,FL,,17
42,FL,A,1
43,FL,B,89
44,FL,H,43
45,FL,O,3
46,FL,W,130
47,GA,,23
48,GA,A,3
49,GA,B,57
50,GA,H,8
51,GA,W,63
52,HI,,1
53,HI,A,8
54,HI,B,1
55,HI,H,1
56,HI,O,12
57,HI,W,3
58,IA,,1
59,IA,B,6
60,IA,W,22
61,ID,,6
62,ID,B,1
63,ID,H,4
64,ID,N,1
65,ID,W,26
66,IL,,3
67,IL,B,53
68,IL,H,12
69,IL,W,28
70,IN,,6
71,IN,B,24
72,IN,H,4
73,IN,W,48
74,KS,,3
75,KS,B,6
76,KS,H,7
77,KS,N,1
78,KS,W,28
79,KY,,6
80,KY,A,1
81,KY,B,11
82,KY,H,3
83,KY,N,1
84,KY,W,59
85,LA,,7
86,LA,A,2
87,LA,B,54
88,LA,H,1
89,LA,W,34
90,MA,,1
91,MA,B,8
92,MA,H,7
93,MA,O,1
94,MA,W,14
95,MD,,3
96,MD,B,41
97,MD,H,3
98,MD,W,20
99,ME,,1
100,ME,B,1
101,ME,O,1
102,ME,W,14
103,MI,,10
104,MI,A,1
105,MI,B,23
106,MI,H,2
107,MI,O,1
108,MI,W,36
109,MN,,2
110,MN,A,2
111,MN,B,9
112,MN,H,3
113,MN,N,4
114,MN,O,3
115,MN,W,34
116,MO,,13
117,MO,A,1
118,MO,B,43
119,MO,H,3
120,MO,W,57
121,MS,,4
122,MS,A,1
123,MS,B,20
124,MS,H,1
125,MS,W,31
126,MT,,2
127,MT,N,4
128,MT,W,18
129,NC,,10
130,NC,A,1
131,NC,B,40
132,NC,H,8
133,NC,W,71
134,ND,N,4
135,ND,W,5
136,NE,,1
137,NE,B,4
138,NE,H,2
139,NE,N,1
140,NE,W,13
141,NH,,1
142,NH,W,11
143,NJ,,7
144,NJ,A,1
145,NJ,B,25
146,NJ,H,9
147,NJ,W,18
148,NM,,9
149,NM,B,1
150,NM,H,56
151,NM,N,2
152,NM,W,25
153,NV,,9
154,NV,A,2
155,NV,B,11
156,NV,H,24
157,NV,N,1
158,NV,W,32
159,NY,,11
160,NY,A,1
161,NY,B,34
162,NY,H,8
163,NY,W,28
164,OH,,6
165,OH,A,2
166,OH,B,48
167,OH,H,1
168,OH,O,2
169,OH,W,76
170,OK,,16
171,OK,A,3
172,OK,B,27
173,OK,H,7
174,OK,N,6
175,OK,W,82
176,OR,,9
177,OR,B,7
178,OR,H,4
179,OR,W,54
180,PA,,11
181,PA,B,37
182,PA,H,6
183,PA,W,41
184,RI,B,2
185,RI,H,1
186,RI,W,1
187,SC,,5
188,SC,A,1
189,SC,B,21
190,SC,H,2
191,SC,W,44
192,SD,,2
193,SD,A,1
194,SD,N,3
195,SD,W,9
196,TN,,15
197,TN,A,1
198,TN,B,26
199,TN,H,3
200,TN,O,1
201,TN,W,75
202,TX,,62
203,TX,A,3
204,TX,B,78
205,TX,H,121
206,TX,N,1
207,TX,O,3
208,TX,W,149
209,UT,,4
210,UT,B,5
211,UT,H,10
212,UT,N,2
213,UT,O,1
214,UT,W,29
215,VA,,4
216,VA,A,1
217,VA,B,36
218,VA,H,4
219,VA,W,40
220,VT,,2
221,VT,N,1
222,VT,W,6
223,WA,,22
224,WA,A,7
225,WA,B,16
226,WA,H,18
227,WA,N,7
228,WA,O,2
229,WA,W,55
230,WI,,4
231,WI,A,1
232,WI,B,16
233,WI,H,3
234,WI,N,4
235,WI,W,46
236,WV,,11
237,WV,A,1
238,WV,B,7
239,WV,W,32
240,WY,,1
241,WY,H,2
242,WY,N,1
243,WY,W,9
